"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","31-Dec-02","8614"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other Liabilities","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Pledges & Grants Receivable","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Receivable / Other","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Tax-Exempt Bond Liabilities","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","1-Jan-03","29128"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","1-Jan-05","48739"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","1-Jan-06","37179"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","31-Dec-02","29128"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","31-Dec-03","36679"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","31-Dec-05","37179"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Assets","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","31-Dec-05","0"
